DateTime,PM10 (ug/m3),PM2.5 (ug/m3)
22/06/2015,12.6,
23/06/2015,30.5,
24/06/2015,31.2,
25/06/2015,41.4,
26/06/2015,30.5,
27/06/2015,34.5,
28/06/2015,37.4,
29/06/2015,21.2,
30/06/2015,23.2,
1/07/2015,25.9,
2/07/2015,18.8,
3/07/2015,15.8,
4/07/2015,23.1,
5/07/2015,23.7,
6/07/2015,16.8,
7/07/2015,32.3,
8/07/2015,10.7,
9/07/2015,9.7,
10/07/2015,21.2,
11/07/2015,29.6,
12/07/2015,40.3,
13/07/2015,47.9,
14/07/2015,35.5,
15/07/2015,13.8,
16/07/2015,24.2,
17/07/2015,24.5,
18/07/2015,16.8,
19/07/2015,10.2,
20/07/2015,32.5,
21/07/2015,22.4,
22/07/2015,20.3,
23/07/2015,37.8,
24/07/2015,27.1,
25/07/2015,15.2,
26/07/2015,9.2,
27/07/2015,18.8,
28/07/2015,12.6,
29/07/2015,14.2,8.5
30/07/2015,28.9,19.3
31/07/2015,51.9,40.6
1/08/2015,31.1,23.8
2/08/2015,14.7,10.1
3/08/2015,16,7.7
4/08/2015,10.9,5.2
5/08/2015,28.8,18.6
6/08/2015,44.5,29.3
7/08/2015,21.2,11.4
8/08/2015,24.4,17.5
9/08/2015,11.1,8.5
10/08/2015,13.1,8.5
11/08/2015,26.4,19.4
12/08/2015,15.2,
13/08/2015,17.2,
14/08/2015,30.8,11.5
15/08/2015,22.1,10.1
16/08/2015,15.2,8
17/08/2015,32.8,22.5
18/08/2015,8.5,4.4
19/08/2015,23.4,17.2
20/08/2015,21.4,12.6
21/08/2015,17,9.8
22/08/2015,35.7,24.8
23/08/2015,31.1,22.6
24/08/2015,38.5,25.1
25/08/2015,34.1,27.7
26/08/2015,36.6,24
27/08/2015,31,15
28/08/2015,30.7,21.4
29/08/2015,42.1,29.3
30/08/2015,18.5,13.8
31/08/2015,13.1,
1/09/2015,15.2,10
2/09/2015,12,7.3
3/09/2015,12.3,6.2
4/09/2015,14.7,
5/09/2015,9.7,
6/09/2015,10,6.4
7/09/2015,19.9,
8/09/2015,18.1,7.5
9/09/2015,24.9,14.6
10/09/2015,22.1,10.8
11/09/2015,10.3,6.3
12/09/2015,16.7,12.7
13/09/2015,21.9,11.6
14/09/2015,36.3,15.1
15/09/2015,24.5,11.5
16/09/2015,18.1,
17/09/2015,16.8,
18/09/2015,14.6,
19/09/2015,13.1,
20/09/2015,10.1,
21/09/2015,14.5,
22/09/2015,13.4,
23/09/2015,13.2,
24/09/2015,12.2,
25/09/2015,12.7,
26/09/2015,7.7,
27/09/2015,12.4,
28/09/2015,12.3,
29/09/2015,14.4,
30/09/2015,17.6,
1/10/2015,13.9,
2/10/2015,13.9,4.7
3/10/2015,21.9,7.1
4/10/2015,20.1,5.3
5/10/2015,24.9,6.9
6/10/2015,30.9,9.2
7/10/2015,26.7,6.5
8/10/2015,18.3,5.2
9/10/2015,16.9,4.7
10/10/2015,17.4,4.9
11/10/2015,20.5,7
12/10/2015,17.8,5.7
13/10/2015,11.9,3.9
14/10/2015,16.4,5.2
15/10/2015,17.9,5.8
16/10/2015,16.3,3.6
17/10/2015,12.4,2.8
18/10/2015,9.1,3.2
19/10/2015,23.2,6.2
20/10/2015,22,6.6
21/10/2015,19.8,5.5
22/10/2015,18.4,6.1
23/10/2015,22.6,7.6
24/10/2015,21.4,6.8
25/10/2015,14,5.2
26/10/2015,14.3,4.5
27/10/2015,15.9,5.2
28/10/2015,15.5,6.8
29/10/2015,15.4,7.1
30/10/2015,14.7,7.4
31/10/2015,13.5,6.9
1/11/2015,14.2,4.4
2/11/2015,16.9,5.8
3/11/2015,11,2.8
4/11/2015,14.5,7.5
5/11/2015,13.8,6.8
6/11/2015,17.7,6.9
7/11/2015,20.9,8.3
8/11/2015,12.5,6.1
9/11/2015,17.5,7.3
10/11/2015,14.1,6.8
11/11/2015,12.7,5.1
12/11/2015,9.1,4
13/11/2015,12.1,3.8
14/11/2015,11.6,5
15/11/2015,12.2,4.8
16/11/2015,14.7,4.3
17/11/2015,18.3,6.2
18/11/2015,19.4,6.1
19/11/2015,24.9,7.7
20/11/2015,10.9,3.6
21/11/2015,20.9,7.5
22/11/2015,16.6,4.9
23/11/2015,13,4
24/11/2015,8.6,1.8
25/11/2015,13.2,4.1
26/11/2015,14.2,5
27/11/2015,17.9,3.6
28/11/2015,8.8,2.8
29/11/2015,11.6,3
30/11/2015,18.6,5.6
1/12/2015,20.1,7.5
2/12/2015,13.5,3.8
3/12/2015,11.3,4
4/12/2015,17.9,5.1
5/12/2015,13.7,4
6/12/2015,8.7,3
7/12/2015,10.7,3
8/12/2015,9.8,3.1
9/12/2015,13.4,4
10/12/2015,15.8,4.3
11/12/2015,19.8,7.5
12/12/2015,13.1,4.8
13/12/2015,10,
14/12/2015,6.9,2.7
15/12/2015,15.6,4.1
16/12/2015,5.4,1.6
17/12/2015,5.2,1.5
18/12/2015,8.1,2.5
19/12/2015,12.3,4.1
20/12/2015,19.3,4.5
21/12/2015,21.9,6.3
22/12/2015,9,2.2
23/12/2015,12.1,4.3
24/12/2015,17.3,4.9
25/12/2015,15.5,6.1
26/12/2015,12.9,4.6
27/12/2015,15.3,4.3
28/12/2015,18.8,5.5
29/12/2015,15.8,4
30/12/2015,12.5,4.1
31/12/2015,14.1,4
1/01/2016,16,5.1
2/01/2016,14.7,7.2
3/01/2016,7.7,3.1
4/01/2016,8.4,2.5
5/01/2016,10.6,3.8
6/01/2016,17.3,5.2
7/01/2016,20,7.1
8/01/2016,19.4,6.4
9/01/2016,23.5,7.3
10/01/2016,18.6,5.4
11/01/2016,20.7,5.9
12/01/2016,23.6,7.3
13/01/2016,15,4
14/01/2016,22.1,6.2
15/01/2016,16.6,3
16/01/2016,6.1,1.9
17/01/2016,6.4,2
18/01/2016,4.9,1.8
19/01/2016,5.5,1.9
20/01/2016,11.8,3.8
21/01/2016,18.8,7
22/01/2016,17.2,5.5
23/01/2016,14.5,5.5
24/01/2016,9.6,3.4
25/01/2016,14.8,4.4
26/01/2016,9,4.1
27/01/2016,5.5,2.3
28/01/2016,5.2,2.3
29/01/2016,7.4,2.2
30/01/2016,8.8,2.5
31/01/2016,8.4,3.3
1/02/2016,13.4,4.6
2/02/2016,22.2,8.7
